ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,BillingAddress,CandidateBallotInformation,PayingAdvertiserName,Gender,AgeBracket,CountryCode,Regions (Included),Regions (Excluded),Electoral Districts (Included),Electoral Districts (Excluded),Radius Targeting (Included),Radius Targeting (Excluded),Metros (Included),Metros (Excluded),Postal Codes (Included),Postal Codes (Excluded),Location Categories (Included),Location Categories (Excluded),Interests,OsType,Segments,Language,AdvancedDemographics,Targeting Connection Type,Targeting Carrier (ISP),CreativeProperties
b1ebaaf50d64cf288230d6ddb530c80ab8315dc21573541748505a2940ff38c8,https://www.snap.com/political-ads/asset/ed40be3c5134192b1ec7773452b2816a9870e9f2b5d96b23ee680a04e536a7a1?mediaType=jpeg,USD,19,22409,2020/01/22 15:05:50Z,2020/01/23 15:04:05Z,Gali Clothing,US,,gali clothing,FEMALE,35-,united states,,,,,,,,,,,,,Political News Watchers,,Provided by Advertiser,en,,,,web_view_url:https://galiclothing.com/products/unisex-sweatshirt
1b67df532db22e2c7330a9c912d61256ac0c5b3faef3d1403600d172936ead37,https://www.snap.com/political-ads/asset/2bd76e3379c48a43e69a93c9e1566a018e0754d522b5bac0485a42ca321c7a9a?mediaType=mp4,USD,555,452582,2020/01/08 15:00:00Z,2020/04/01 03:59:59Z,Assembly," 711 3rd Ave, New York, NY 10017,new york city,10017,US",,truth,,15-17,united states,,,,,,,"Bakersfield,Baltimore,Bend,Binghamton,Boise,Boston (manchester),Burlington - Plattsburgh,Champaign Springfield - Decatur,Chicago,Chico - Redding,El Paso (las Cruces),Eugene,Eureka,Fresno - Visalia,Ft. Myers - Naples,Hartford & New Haven,Houston,Jackson,Juneau,La Crosse - Eau Claire,Los Angeles,Madison,Mankato,Medford - Klamath Falls,Miami - Ft. Lauderdale,Monterey - Salinas,New York,Peoria - Bloomington,Portland - Auburn,Rochester - Mason City - Austin,Rockford,Sacramento - Stockton - Modesto,San Diego,San Francisco - Oakland - San Jose,Santa Barbara - Sanmar - San Luis Obispo,Savannah,Seattle - Tacoma,Syracuse,Tallahassee - Thomasville,Utica,Watertown,Wausau - Rhinelander,Yakima - Pasco - Richland - Kennewick",,,,,,,,,en,,,,web_view_url:https://pages.thetruth.com/ditch-juul-snap-ad?cid=social_asm_snapchat_ditchjuul_bellyflop_leadgen_snapads_6_1517
29bab1e92b74813833435b603ae4c27279a4ddcc76e5851a236cae0c50ab97e6,https://www.snap.com/political-ads/asset/c54fafee1d80dcddf5e46a7f4cb5d42a552beac46874dff799178b1eec478e56?mediaType=jpeg,USD,236,477390,2020/01/14 17:44:37Z,,Marud Khan,US,,Albbiom Marketing LLC,,,united states,,Alaska,,,,,,,,,,,"News Watchers,Business News Watchers,Celebrity News Watchers,Political News Watchers,TV Network Viewers (FOX News Channel),TV Network Viewers (FOX),TV Viewers (News)",,Provided by Advertiser,en,,,,web_view_url:https://www.patrioticamerican1776.com/patriot/v6/
5d98d4dae9be6cbafae6f4a8ea743f565537690572a9c50c92063f17dc9d6e8d,https://www.snap.com/political-ads/asset/6850723db57f7d4a4784baf1033aea0cac6bc28622069e2a91842d49e910cdb6?mediaType=jpeg,USD,75,41890,2020/01/04 20:37:52Z,,Marud Khan,US,,Albbiom Marketing LLC,MALE,22+,united states,,"Alaska,California",,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://www.patrioticamerican1776.com/patriot/v1/
88696e4fadfc8c563bae6aeee77f2cb6b810fc5348685af0da57692bf33c2e93,https://www.snap.com/political-ads/asset/aff45627eeb9dba9025bb1a88724f9b95d09c25611e13f9b4aeabf51f06e247d?mediaType=mp4,USD,105,53610,2020/01/03 16:24:16Z,2020/02/04 04:59:16Z,Pete for America,"202 S Michigan St,South Bend,46601,US","Pete for America ",Pete for America,,18+,united states,Iowa,,,,,,,,,,,,"Collegiates,Green Living Enthusiasts,Political News Watchers,TV Viewers (News)",,Provided by Advertiser,,,,,web_view_url:https://peteforamerica.com/policies/douglass-plan/?utm_source=snapchat&utm_medium=video&utm_campaign=generational_theft&utm_content=41s
3ff7ef6c131451596ee2697ae64eeece72a8a06a2438d9c623af5e181411b470,https://www.snap.com/political-ads/asset/a5f5a08d2f761f319a077d5aec938871807d84a1cf817123871060ffe25a6fd6?mediaType=mov,USD,2525,2096106,2020/01/06 14:40:00Z,2020/02/01 04:59:59Z,R/GA,"450 W 33rd St,New York,10001,US",,Planned Parenthood,,17-,united states,,,,,,,,,,,,,,,,,,,,web_view_url:https://roo.plannedparenthood.org?&utm_source=Snapchat&utm_medium=PaidSocial&utm_term=Video_Vagina_6s&utm_content=Traffic_Roo_13-17All&utm_campaign=PPRoo_Traffic5.13-6.7_Roo
6c1a661b1c98303b3db5ac328234d29346d807d2fd3e9db066f3e8af6752c30a,https://www.snap.com/political-ads/asset/d704583eeaa12e4e1d38cfdbe9078b47354003e3bccbd56ddc3db37faad0ee63?mediaType=mp4,EUR,0,1270,2020/01/17 12:31:03Z,,SpunOut.ie,"Sean McBride House, 48 Fleet Street,,Dublin 2,D02 T883,IE",,SpunOut.ie,,16-25,ireland,"Donegal,Galway,Leitrim,Longford,Mayo,Roscommon,Sligo,Westmeath",,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://spunout.ie/news/article/spunout-recruiting-members-action-panels?utm_source=snapchat&utm_medium=social&utm_campaign=ap_recruitment
952be198059168236961b26b97a8731bddefa353df3e5100763c26056a81cdf8,https://www.snap.com/political-ads/asset/b9b0c530fafc43e7d46132f9b4bac56b4aeb42fd51af5751e660efdd777bdd43?mediaType=mp4,EUR,4,7237,2020/01/17 12:31:03Z,,SpunOut.ie,"Sean McBride House, 48 Fleet Street,,Dublin 2,D02 T883,IE",,SpunOut.ie,,16-25,ireland,"Cavan,Kildare,Laois,Louth,Meath,Monaghan,Offaly,Wicklow",,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://spunout.ie/news/article/spunout-recruiting-members-action-panels?utm_source=snapchat&utm_medium=social&utm_campaign=ap_recruitment
71200dc29f310812adff068bbafa48a37eb8f5c0f7cab3c4715012a3ec64564c,https://www.snap.com/political-ads/asset/688ef2c9958b348fc75dc0e7efa061cc9a54fb08d30b656bce35729249a4c6cf?mediaType=mp4,GBP,39,46266,2020/01/21 12:48:49Z,2020/03/02 07:59:59Z,Republic of Media Ltd.,"4th Floor, Nova House,Edinburgh,EH3 9QQ,GB",,Scottish Government,,16-24,united kingdom,,,,,"latitude 56.78120018038726;longitude -4.287511715387666;radius 100.0,latitude 57.32171550315462;longitude -2.418608752380237;radius 85.86,latitude 55.51943446788195;longitude -3.4927427040261705;radius 58.31,latitude 55.10155935962584;longitude -4.442367333596138;radius 60.15,latitude 55.83574454246647;longitude -2.4876021261947585;radius 23.42,latitude 56.080161847032315;longitude -2.8813614784165793;radius 54.27,latitude 55.78079022250972;longitude -4.63869497268675;radius 64.56,latitude 55.5023252578392;longitude -2.413099749062013;radius 9.83,latitude 58.113564814053944;longitude -4.522493797329133;radius 100.0,latitude 58.12173011298961;longitude -6.601857126173002;radius 37.38,latitude 59.008553059263335;longitude -2.9179367020813345;radius 55.74",,,,,,,,,,Provided by Advertiser,,,,,
3022508ef6ebff795b2d5bd02e7523d912ad12d13cb8ce87e182c92755068294,https://www.snap.com/political-ads/asset/d406bac5de2eda68c9ca9d842d0db43f1ea503e74d4cf261e869075617aed690?mediaType=jpg,USD,1,1368,2020/01/23 20:39:12Z,2020/02/27 04:59:12Z,Southern Environmental Law Center,US,,SELC,,,united states,Virginia,,,,,,,,,,,,"Advocates & Activists,Green Living Enthusiasts,Philanthropists,Wellness & Healthy Lifestyle,Eco-Conscious Shoppers,Home Movie Viewers (Documentary),TV Network Viewers (MSNBC)",,Provided by Advertiser,,,,,web_view_url:https://www.southernenvironment.org/news-and-press/news-feed/cut-virginia-carbon/?utm_source=snap&utm_medium=ad&utm_campaign=VCRPhase2&p2asource=snap#action
